,name,tags,ingredients,cuisine,seasons,type,allergy
0,keep it going  german friendship cake,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, breads, eggs-dairy, fruit, german, 1-day-or-more, oven, european, refrigerator, potluck, vegetarian, nuts, eggs, dietary, gifts, comfort-food, yeast, quick-breads, tropical-fruit, pineapple, taste-mood, to-go, equipment","flour,water,dryyeast,milk,sugar,eggs,vegetableoil,bakingsoda,bakingpowder,salt,cinnamon,vanilla,crushedpineapple,raisins,nuts,butter,brownsugar",european,SUMMER,veg,N
1,killer  lasagna,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, casseroles, main-dish, pasta, oven, european, potluck, dinner-party, heirloom-historical, holiday-event, italian, lasagna, dietary, low-carb, low-in-something, pasta-rice-and-grains, to-go, equipment, 4-hours-or-less","italiansausage,groundbeef,garlic,driedbasil,salt,wholetomato,tomatopaste,ricottacheese,cottagecheese,parmesancheese,parsleyflakes,eggs,groundblackpepper,lasagnanoodle,mozzarellacheese",european,SUMMER,non-veg,M
2,marijuana  vinegar,"weeknight, time-to-make, course, cuisine, preparation, occasion, for-large-groups, 5-ingredients-or-less, condiments-etc, 1-day-or-more, easy, european, no-cook, vegetarian, dietary, gifts, spicy, gluten-free, oamc-freezer-make-ahead, inexpensive, cooking-mixes, free-of-something, taste-mood, number-of-servings, technique","freshherbs,cidervinegar,freshherb",european,SPRING,veg,C
3,mr  grant you took half veal prince orloff,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, casseroles, main-dish, beef, oven, european, roast, dinner-party, romantic, veal, meat, taste-mood, equipment, 4-hours-or-less","vealroast,butter,oil,carrots,onions,parsleysprigs,bayleaf,thyme,salt,pepper,bacon",european,SUMMER,non-veg,N
4,my muffuletta sandwich,"30-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, lunch, pork, easy, european, finger-food, italian, sandwiches, meat, novelty, presentation, 3-steps-or-less","ciabatta,provolonecheese,genoasalami,ham,tomatoes,sweetonion,greenolives,kalamataolive,freshbasil,capers,garlic,brine,oreganoleaves,oliveoil,redwinevinegar,freshparsley,carrot",european,AUTUMN,non-veg,N
5,real  italian bolognese sauce,"time-to-make, course, cuisine, preparation, sauces, condiments-etc, european, italian, dietary, 4-hours-or-less","bacon,onion,celery,carrot,garlic,butter,oliveoil,leangroundbeef,groundpork,beefconsomme,drywhitewine,crushedtomatoes,salt,blackpepper,rubbedsage,oregano,redpepperflakes,nutmeg,milk,pennepasta",european,WINTER,non-veg,N|M
6,say what   banana sandwich,"15-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, north-american, 5-ingredients-or-less, lunch, fruit, american, southern-united-states, easy, european, beginner-cook, finger-food, kid-friendly, vegetarian, dietary, sandwiches, inexpensive, toddler-friendly, tropical-fruit, bananas, brunch, taste-mood, sweet, to-go, presentation","whitebread,mayonnaise,bananas",european,SPRING,veg,M
7,voodoo   calamari ink  pasta,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, main-dish, pasta, seafood, european, italian, dietary, low-sodium, low-in-something, pasta-rice-and-grains, no-shell-fish, squid, 4-hours-or-less","squid,spaghetti,drywhitewine,tomatosauce,parsley,garlic,extravirginoliveoil,hotwater,saltandpepper",european,WINTER,non-veg,N|C
8,zupa ze swiezych grzybow  polish mushroom soup,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, low-protein, soups-stews, vegetables, european, polish, dietary, low-calorie, low-carb, mushrooms, low-in-something","wildmushrooms,onions,butter,lemon,juiceof,water,beefbroth,sourcream,flour,saltandpepper,freshdill",european,SPRING,non-veg,L
9,10 can spaghetti sauce   oamc,"course, cuisine, preparation, for-large-groups, sauces, main-dish, condiments-etc, european, italian, dietary, low-cholesterol, low-calorie, low-carb, savory-sauces, low-in-something, number-of-servings","tomatosauce,italiansausage,oliveoil,whiteonion,bottledgarlic,sugar,paprika,driedparsley,driedoregano,driedbasil,garlicpowder,bayleaves,salt,pepper",european,WINTER,non-veg,N
